기간,자치구,세대,인구,인구.1,인구.2,인구.3,인구.4,인구.5,인구.6,인구.7,인구.8,세대당인구,65세이상고령자
기간,자치구,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2020.1/4,합계,4354006,10013781,4874995,5138786,9733655,4742217,4991438,280126,132778,147348,2.24,1518239
2020.1/4,종로구,74151,161984,78271,83713,151217,73704,77513,10767,4567,6200,2.04,28073
2020.1/4,중구,63045,136469,66769,69700,126175,61839,64336,10294,4930,5364,2,23794
2020.1/4,용산구,110895,246165,119961,126204,229579,110667,118912,16586,9294,7292,2.07,39439
2020.1/4,성동구,135643,307193,149891,157302,299042,146300,152742,8151,3591,4560,2.2,44728
2020.1/4,광진구,165287,365990,176226,189764,350417,169568,180849,15573,6658,8915,2.12,48989
2020.1/4,동대문구,165279,362793,178202,184591,346156,171896,174260,16637,6306,10331,2.09,60367
2020.1/4,중랑구,182220,400678,198122,202556,395619,196076,199543,5059,2046,3013,2.17,66764
2020.1/4,성북구,193801,454532,218561,235971,442494,213926,228568,12038,4635,7403,2.28,72172
2020.1/4,강북구,144805,316750,154141,162609,312985,152747,160238,3765,1394,2371,2.16,61660
2020.1/4,도봉구,138595,333495,162774,170721,331238,161879,169359,2257,895,1362,2.39,60023
2020.1/4,노원구,217148,535495,258696,276799,531037,256726,274311,4458,1970,2488,2.45,82682
2020.1/4,은평구,208209,482509,231953,250556,478019,230147,247872,4490,1806,2684,2.3,82245
2020.1/4,서대문구,142109,325875,154502,171373,312642,150051,162591,13233,4451,8782,2.2,53038
2020.1/4,마포구,176133,386086,181204,204882,374570,176943,197627,11516,4261,7255,2.13,53283
2020.1/4,양천구,177436,460532,226109,234423,456339,224241,232098,4193,1868,2325,2.57,62761
2020.1/4,강서구,263645,595703,288134,307569,589302,285085,304217,6401,3049,3352,2.24,85992
2020.1/4,구로구,177275,438308,218970,219338,405837,200558,205279,32471,18412,14059,2.29,67432
2020.1/4,금천구,111542,251370,128643,122727,232583,118044,114539,18787,10599,8188,2.09,38508
2020.1/4,영등포구,177743,404766,202617,202149,371903,184316,187587,32863,18301,14562,2.09,59373
2020.1/4,동작구,181761,407802,196943,210859,395014,191272,203742,12788,5671,7117,2.17,63378
2020.1/4,관악구,270760,516662,258982,257680,499374,250743,248631,17288,8239,9049,1.84,76664
2020.1/4,서초구,173580,434801,207877,226924,430568,205787,224781,4233,2090,2143,2.48,58332
2020.1/4,강남구,233624,549898,263163,286735,544804,260654,284150,5094,2509,2585,2.33,72602
2020.1/4,송파구,279301,680883,329058,351825,674095,325859,348236,6788,3199,3589,2.41,89539
2020.1/4,강동구,190019,457042,225226,231816,452646,223189,229457,4396,2037,2359,2.38,66401
